category,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,rating
Preservatives,bronopol,,,,,,Poor
Coloring Agents/Pigments,bronze,powder,,,,,Good
Antioxidants,Buddleja,davidii,extract,,,,Best
 Plant Extracts,Buddleja,davidii,extract,,,,Best
Sunscreen Actives,bumetrizole,,,,,,Good
Plant Extracts,Bupleurum,falcatum,extract,,,,Average
Skin-Soothing,burdock,root,,,,,Best
 Antioxidants,burdock,root,,,,,Best
 Plant Extracts,burdock,root,,,,,Best
Film-Forming Agents,butyl,acetate,,,,,Good
 Texture Enhancer,butyl,acetate,,,,,Good
Texture Enhancer,butylene,glycol,,,,,Good
Sunscreen Actives,butyl,methoxydibenzoylmethane,,,,,Best
Preservatives,butylparaben,,,,,,Good
Fragrance: Synthetic and Fragrant Plant Extracts,butylphenyl,methylpropional,,,,,Poor
Plant Extracts,Butyrospermum,fruit,,,,,Best
 Emollients,Butyrospermum,fruit,,,,,Best
Plant Extracts,Butyrospermum,parkii,,,,,Best
 Emollients,Butyrospermum,parkii,,,,,Best
 Skin-Replenishing,Butyrospermum,parkii,,,,,Best
Plant Extracts,Buxus,chinensis,,,,,Best
 Skin-Replenishing,Buxus,chinensis,,,,,Best
 Emollients,Buxus,chinensis,,,,,Best
Emollients,C10-30,cholesterol/lanosterol,esters,,,,Best
Texture Enhancer,C12-15,alkyl,benzoate,,,,Good
 Emollients,C12-15,alkyl,benzoate,,,,Good
Texture Enhancer,C12-18,acid,triglyceride,,,,Good
 Emollients,C12-18,acid,triglyceride,,,,Good
Texture Enhancer,C13-14,isoparaffin,,,,,Good
Texture Enhancer,C18-36,acid,triglyceride,,,,Good
 Emollients,C18-36,acid,triglyceride,,,,Good
Cleansing Agents,C20-40,pareth-40,,,,,Good
Antioxidants,caffeic,acid,,,,,Best
Antioxidants,caffeine,,,,,,Average
 Plant Extracts,caffeine,,,,,,Average
Plant Extracts,cajeputi,oil,,,,,Poor
Sensitizing,calamine,,,,,,Poor
Antioxidants,calcium,ascorbate,,,,,Best
 Vitamins,calcium,ascorbate,,,,,Best
Absorbent,calcium,carbonate,,,,,Good
Vitamins,calcium,d-pantetheine-s-sulfonate,,,,,Good
Skin-Soothing,calcium,gluconate,,,,,Good
Vitamins,calcium,pantothenate,,,,,Good
Skin-Soothing,calendula,extract,,,,,Good
 Antioxidants,calendula,extract,,,,,Good
 Plant Extracts,calendula,extract,,,,,Good
Antioxidants,Calendula,officinalis,flower,extract,,,Good
 Plant Extracts,Calendula,officinalis,flower,extract,,,Good
Skin-Soothing,Calluna,vulgaris,flower,extract,,,Best
 Plant Extracts,Calluna,vulgaris,flower,extract,,,Best
Plant Extracts,Calophyllum,inophyllum,seed,oil,,,Good
Antioxidants,Camellia,japonica,,,,,Best
 Plant Extracts,Camellia,japonica,,,,,Best
Antioxidants,Camellia,oleifera,,,,,Best
 Plant Extracts,Camellia,oleifera,,,,,Best
Antioxidants,Camellia,sinensis,,,,,Best
 Plant Extracts,Camellia,sinensis,,,,,Best
Plant Extracts,camphor,,,,,,Poor
Plant Extracts,cananga,extract,,,,,Poor
 Fragrance: Synthetic and Fragrant Plant Extracts,cananga,extract,,,,,Poor
Plant Extracts,Cananga,odorata,,,,,Poor
 Fragrance: Synthetic and Fragrant Plant Extracts,Cananga,odorata,,,,,Poor
Thickeners/Emulsifiers,candelilla/jojoba/rice,bran,polyglyceryl-3,esters,,,Best
Plant Extracts,candelilla,wax,,,,,Good
 Emollients,candelilla,wax,,,,,Good
 Texture Enhancer,candelilla,wax,,,,,Good
Plant Extracts,Cannabis,sativa,L.,oil,,,Good
 Emollients,Cannabis,sativa,L.,oil,,,Good
Skin-Soothing,canola,oil,,,,,Best
 Skin-Replenishing,canola,oil,,,,,Best
 Plant Extracts,canola,oil,,,,,Best
Skin-Replenishing,caprooyl,phytosphingosine,,,,,Best
 Skin-Restoring,caprooyl,phytosphingosine,,,,,Best
Skin-Replenishing,caprooyl,sphingosine,,,,,Best
 Skin-Restoring,caprooyl,sphingosine,,,,,Best
Skin-Restoring,caprooyl,tetrapeptide-3,,,,,Best
Plant Extracts,caprylic/capric,triglyceride,,,,,Best
 Emollients,caprylic/capric,triglyceride,,,,,Best
 Texture Enhancer,caprylic/capric,triglyceride,,,,,Best
Film-Forming/Holding Agents,capryloyl,glycerin/sebacic,acid,copolymer,,,Good
 Texture Enhancer,capryloyl,glycerin/sebacic,acid,copolymer,,,Good
Hydration,capryloyl,glycine,,,,,Good
Plant Extracts,caprylyl,glycol,,,,,Good
 Preservatives,caprylyl,glycol,,,,,Good
Silicones,caprylyl,methicone,,,,,Good
 Emollients,caprylyl,methicone,,,,,Good
Plant Extracts,capsaicin,,,,,,Poor
Plant Extracts,capsicum,,,,,,Poor
Plant Extracts,capsicum,oleoresin,,,,,Poor
Coloring Agents/Pigments,caramel,,,,,,Good
Texture Enhancer,carbomer,,,,,,Good
Texture Enhancer,carbopol,,,,,,Good
Antioxidants,carboxylic,acid,,,,,Best
Plant Extracts,cardamom,,,,,,Poor
 Fragrance: Synthetic and Fragrant Plant Extracts,cardamom,,,,,,Poor
Coloring Agents/Pigments,carmine,,,,,,Good
Plant Extracts,carnauba,wax,,,,,Good
 Absorbent,carnauba,wax,,,,,Good
 Texture Enhancer,carnauba,wax,,,,,Good
Antioxidants,carnitine,,,,,,Best
Antioxidants,carnosic,acid,,,,,Best
